country,region,population,data_privacy_law,color_code_flag,type_of_data_protected_dp_law,data_localization,data_localization_category,cross_border_transfer,link _to_dp_law,cross_border_category
Nigeria,West,213401323,"-Nigeria Data Protection Act 2023 (NDPA);
-Nigeria Data Protection Regulation (NDPR, 2019);
-The Consitition; 
-Specific sectoral laws.",green,- Personal Data;,"- No all-encompassing rule (financial, or telcom data may have stricter controls).",No all-encompassing rule but some data categories might have stricter controls.,- Requires “adequate protection” or consent.,https://placng.org/i/wp-content/uploads/2023/06/Nigeria-Data-Protection-Act-2023.pdf,Cross-border data flows require adequete protection
Algeria,North,44177969,"-Law No. 18-07 (protection of individuals in personal data processing);
-The Consitition; 
-Specific sectoral laws.",green,- Personal Data;,"- No all-encompassing rule (public, telcom or healthcare data may have stricter controls).",No all-encompassing rule but some data categories might have stricter controls.,"- Requires adequate protection or prior authorization for any cross-border data (healthcare, telecom data typically need extra scrutiny).",https://www.joradp.dz/FTP/JO-FRANCAIS/2018/F2018034.pdf,Cross-border data flows require adequete protection
Angola,Southern,34503774,"-Law No. 22/11 on Personal Data Protection;
-The Consitition; 
-Specific sectoral laws.",green,- Personal Data;,- No mandatory localization.,No mandatory localization.,"- Requires prior authorization/notification and any adequate protection for any cross-border data (public, financial or telecom data typically need extra scrutiny).",https://www.dataguidance.com/sites/default/files/lei_de_proteccao_de_dados_pessoais_v.pdf,"Cross-border data flows require contractual safeguards, prior authorization or adequacy decisions by authoritie"
Benin,West,12996895,"-Law No. 2017-20 (Digital Code, includes data protection);
-Law No. 2009-09  (Protection of Personally Identifiable Information);
-The Consitition; 
-Specific sectoral laws.",green,- Personal & Sensitive Data;,- No mandatory localization.,No mandatory localization.,- Requires adequate protection for any cross-border data (financial or telecom data typically need extra scrutiny).,,Cross-border data flows require adequete protection
Botswana,Southern,2588423,"-Data Protection Act – Act No. 32 of 2018, (“the DPA”);
-Specific sectoral laws.",green,- Personal & Sensitive Data;,- No mandatory localization.,No mandatory localization.,-The transfer is prohibited by default unless specific conditions are met - adequate protection.,https://www.bocra.org.bw/sites/default/files/documents/32%20Act%2010-08-2018-Data%20Protection.pdf,Cross-border data flows require adequete protection
Burkina Faso,West,22100683,"-Law No. 001-2021/AN on Personal Data Protection (replacing 010-2004);
-The Consitition; 
-Specific sectoral laws.",green,- Personal Data;,- No mandatory localization.,No mandatory localization.,- Requires authorization for cross-border. Financial or telecom data typically must get Commission de l’Informatique et des Libertés (CIL) clearance.,https://www.afapdp.org/wp-content/uploads/2012/01/Burkina-Faso-Loi-portant-protection-des-données-à-caractère-personnel-20042.pdf,"Cross-border data flows require contractual safeguards, prior authorization or adequacy decisions by authoritie"
Burundi,East,12551213,No comprehensive DP law.,red,,- No mandatory localization.,No mandatory localization.,- No formal cross-border framework.,,Absence of cross-border data flow restrictions
Cabo Verde,West,587925,"-Law No. 133/V/2001;
-Law No. 41/VIII/2013 (creating CNPD);
-The Consitition; 
-Specific sectoral laws.",green,- Personal & Sensitive Data;,- No all-encompassing rule (public data may have stricter controls).,No all-encompassing rule but some data categories might have stricter controls.,- Requires adequate protection for any cross-border data.,https://ictpolicyafrica.org/api/documents/download?_id=5db2c34edb7dbc001bb196dd,Cross-border data flows require adequete protection
Cameroon,Central,27198628,"Draft Bill, 30 May 2023",orange,,"- No general localization, but telecom logs might be stored locally for interception.",No all-encompassing rule but some data categories might have stricter controls.,- No formal cross-border framework.,,Absence of cross-border data flow restrictions
Central African Republic,Central,5457154,No comprehensive DP law.,red,- Personal Data;,- No mandatory localization.,No mandatory localization.,- No formal cross-border framework.,,Absence of cross-border data flow restrictions
