country,lan_name,chip_range,term,red,green,blue,speaker_num
Australia,Kriol,A0,grei,0.0,0.0,0.0,1
Australia,Kriol,A0,wait,0.0,0.0,0.0,22
Australia,Kriol,B0,grei,227.0,229.0,229.0,1
Australia,Kriol,B0,wait,227.0,229.0,229.0,1
Australia,Kriol,B1,pingk,242.0,224.0,224.0,1
Australia,Kriol,B1,wait,242.0,224.0,224.0,1
Australia,Kriol,B10,yela,247.0,228.0,139.0,2
Australia,Kriol,B11,yela,240.0,232.0,138.0,3
Australia,Kriol,B12,yela,235.0,232.0,138.0,4
Australia,Kriol,B19,grin,204.0,233.0,219.0,1
Australia,Kriol,B2,grei,242.0,224.0,222.0,1
Australia,Kriol,B2,pingk,242.0,224.0,222.0,1
Australia,Kriol,B2,wait,242.0,224.0,222.0,1
Australia,Kriol,B28,grei,217.0,235.0,246.0,1
Australia,Kriol,B29,grei,218.0,229.0,239.0,1
Australia,Kriol,B3,pingk,243.0,223.0,218.0,1
Australia,Kriol,B3,wait,243.0,223.0,218.0,1
Australia,Kriol,B3,yela,243.0,223.0,218.0,1
Australia,Kriol,B30,grei,220.0,229.0,240.0,1
Australia,Kriol,B31,grei,224.0,229.0,240.0,1
Australia,Kriol,B32,grei,229.0,229.0,240.0,1
Australia,Kriol,B33,grei,230.0,227.0,238.0,1
Australia,Kriol,B34,grei,235.0,225.0,234.0,1
Australia,Kriol,B35,grei,235.0,225.0,234.0,1
Australia,Kriol,B36,grei,237.0,225.0,233.0,1
Australia,Kriol,B37,grei,238.0,225.0,231.0,1
Australia,Kriol,B38,grei,239.0,225.0,229.0,2
Australia,Kriol,B39,grei,241.0,225.0,228.0,2
Australia,Kriol,B4,pingk,245.0,224.0,216.0,1
Australia,Kriol,B4,wait,245.0,224.0,216.0,1
Australia,Kriol,B40,grei,240.0,223.0,224.0,3
Australia,Kriol,B5,pingk,245.0,224.0,213.0,1
Australia,Kriol,B5,wait,245.0,224.0,213.0,1
Australia,Kriol,B6,pingk,245.0,223.0,208.0,1
Australia,Kriol,B6,wait,245.0,223.0,208.0,1
Australia,Kriol,B7,wait,245.0,225.0,204.0,1
Australia,Kriol,B8,wait,243.0,227.0,201.0,1
Australia,Kriol,B9,wait,251.0,228.0,170.0,1
Australia,Kriol,C0,grei,200.0,200.0,200.0,2
Australia,Kriol,C1,grei,248.0,183.0,183.0,1
Australia,Kriol,C1,pingk,248.0,183.0,183.0,2
Australia,Kriol,C10,orinj,232.0,199.0,27.0,1
Australia,Kriol,C10,yela,232.0,199.0,27.0,6
Australia,Kriol,C11,orinj,221.0,201.0,34.0,1
Australia,Kriol,C11,yela,221.0,201.0,34.0,6
Australia,Kriol,C12,yela,10.0,206.0,38.0,8
Australia,Kriol,C13,yela,184.0,195.0,82.0,1
Australia,Kriol,C2,grei,248.0,182.0,177.0,1
Australia,Kriol,C2,pingk,248.0,182.0,177.0,1
Australia,Kriol,C3,grei,249.0,181.0,168.0,1
Australia,Kriol,C3,pingk,249.0,181.0,168.0,1
Australia,Kriol,C37,pingk,239.0,185.0,211.0,1
Australia,Kriol,C38,pingk,244.0,185.0,204.0,2
Australia,Kriol,C39,pingk,246.0,183.0,197.0,2
