comb,red,green,blue
A0,0,0,0
B0,227,229,229
B1,242,224,224
B2,242,224,222
B3,243,223,218
B4,245,224,216
B5,245,224,213
B6,245,223,208
B7,245,225,204
B8,243,227,201
B9,251,228,170
B10,247,228,139
B11,240,232,138
B12,235,232,138
B13,226,233,141
B14,221,234,170
B15,216,233,201
B16,210,233,206
B17,207,232,212
B18,204,232,215
B19,204,233,219
B20,201,231,221
B21,201,231,223
B22,201,231,225
B23,201,232,229
B24,202,233,234
B25,205,233,237
B26,208,233,239
B27,211,232,241
B28,217,235,246
B29,218,229,239
B30,220,229,240
B31,224,229,240
B32,229,229,240
B33,230,227,238
B34,235,225,234
B35,235,225,234
B36,237,225,233
B37,238,225,231
B38,239,225,229
B39,241,225,228
B40,240,223,224
C0,200,200,200
C1,248,183,183
C2,248,182,177
C3,249,181,168
C4,250,183,161
C5,250,185,151
C6,247,188,142
C7,252,187,112
C8,253,187,67
C9,248,192,19
C10,232,199,27
C11,221,201,34
C12,10,206,38
C13,184,195,82
C14,180,212,68
C15,156,205,95
C16,149,205,133
C17,134,202,149
C18,139,206,172
C19,135,206,178
C20,132,206,184
C21,129,205,189
C22,150,212,202
C23,149,212,207
C24,149,211,212
C25,151,211,217
C26,155,209,222
C27,162,208,224
C28,169,205,225
C29,160,205,237
C30,172,200,233
C31,191,199,226
C32,199,197,225
C33,203,196,223
C34,208,195,221
C35,224,187,217
C36,232,186,215
C37,239,185,211
C38,244,185,204
C39,246,183,197
C40,248,183,189
D0,173,184,174
D1,238,150,153
D2,240,150,144
D3,245,142,124
D4,246,145,108
D5,247,150,95
D6,247,146,33
D7,234,155,30
D8,229,162,35
D9,216,169,39
D10,204,174,44
D11,193,177,48
D12,183,180,51
D13,170,184,56
D14,151,189,60
D15,128,192,68
D16,105,191,96
D17,74,187,119
D18,83,190,145
D19,75,190,152
D20,61,190,60
D21,52,190,168
D22,41,189,177
D23,91,189,186
D24,91,190,193
D25,95,188,200
D26,103,186,206
D27,13,183,209
D28,97,184,227
D29,120,179,225
D30,138,175,221
D31,161,172,215
D32,172,169,212
D33,181,166,209
D34,188,164,206
D35,206,157,200
D36,215,154,197
D37,235,147,190
D38,242,145,181
D39,233,150,170
D40,236,150,160
E0,148,148,147
E1,236,106,118
E2,237,106,105
E3,238,107,88
E4,242,104,49
E5,36,112,35
E6,219,134,39
E7,208,132,41
E8,197,138,43
E9,186,144,45
E10,175,147,48
E11,165,151,51
E12,156,154,54
E13,143,158,58
E14,127,162,62
E15,90,167,69
E16,43,171,74
E17,25,171,100
E18,21,169,120
E19,24,169,129
E20,22,168,138
E21,24,166,146
E22,27,166,156
E23,28,165,164
E24,25,164,172
E25,21,162,180
E26,14,161,191
E27,39,158,196
E28,20,158,214
E29,65,154,212
E30,97,149,207
E31,131,144,199
E32,145,140,195
E33,159,137,192
E34,167,134,189
E35,187,125,182
E36,197,121,179
E37,205,120,170
E38,212,118,155
E39,30,107,144
E40,233,105,131
F0,123,122,122
F1,219,61,93
F2,221,65,74
F3,219,68,52
F4,216,75,39
F5,199,92,39
F6,185,101,39
F7,173,108,40
F8,163,113,41
F9,153,117,43
F10,145,120,45
F11,136,125,47
F12,128,126,50
F13,118,130,53
F14,104,133,57
F15,74,138,63
F16,13,143,69
F17,7,141,83
F18,8,140,99
F19,7,139,107
F20,12,139,114
F21,15,138,122
F22,16,137,131
