ORDERNUMBER,QUANTITYORDERED,SALES,ORDERDATE,PRODUCTLINE
10107,30,2871,2/24/2003 0:00,Motorcycles
10121,34,2765.9,5/7/2003 0:00,Motorcycles
10134,41,3884.34,7/1/2003 0:00,Motorcycles
10145,45,3746.7,8/25/2003 0:00,Motorcycles
10159,49,5205.27,10/10/2003 0:00,Motorcycles
10168,36,3479.76,10/28/2003 0:00,Motorcycles
10180,29,2497.77,11/11/2003 0:00,Motorcycles
10188,48,5512.32,11/18/2003 0:00,Motorcycles
10201,22,2168.54,12/1/2003 0:00,Motorcycles
10211,41,8,1/15/2018 0:00,Motorcycles
10223,37,8,2/20/2018 0:00,Motorcycles
10237,23,8,4/5/2018 0:00,Motorcycles
10251,28,8,5/18/2018 0:00,Motorcycles
10263,34,8,6/28/2018 0:00,Motorcycles
10275,45,8,7/23/2018 0:00,Motorcycles
10285,36,8,8/27/2018 0:00,Motorcycles
10299,23,8,9/30/2018 0:00,Motorcycles
10309,41,8,10/15/2018 0:00,Motorcycles
10318,46,8,11/2/2018 0:00,Motorcycles
10329,42,8,11/15/2018 0:00,Motorcycles
10341,41,8,11/24/2018 0:00,Motorcycles
10361,20,8,12/17/2018 0:00,Motorcycles
10375,21,7,2/3/2019 0:00,Motorcycles
10388,42,7,3/3/2019 0:00,Motorcycles
10403,24,7,4/8/2019 0:00,Motorcycles
10417,66,6,5/13/2019 0:00,Motorcycles
10103,26,5404.62,1/29/2003 0:00,Classic Cars
10112,29,7209.11,3/24/2003 0:00,Classic Cars
10126,38,7329.06,5/28/2003 0:00,Classic Cars
10140,37,7374.1,7/24/2003 0:00,Classic Cars
10150,45,10993.5,9/19/2003 0:00,Classic Cars
10163,21,4860.24,10/20/2003 0:00,Classic Cars
10174,34,8014.82,11/6/2003 0:00,Classic Cars
10183,23,5372.57,11/13/2003 0:00,Classic Cars
10194,42,7290.36,11/25/2003 0:00,Classic Cars
10206,47,9064.89,12/5/2003 0:00,Classic Cars
10215,35,8,1/29/2018 0:00,Classic Cars
10228,29,8,3/10/2018 0:00,Classic Cars
10245,34,8,5/4/2018 0:00,Classic Cars
10258,32,8,6/15/2018 0:00,Classic Cars
10270,21,8,7/19/2018 0:00,Classic Cars
10280,34,8,8/17/2018 0:00,Classic Cars
10291,37,8,9/8/2018 0:00,Classic Cars
10304,47,8,10/11/2018 0:00,Classic Cars
10312,48,8,10/21/2018 0:00,Classic Cars
