date,value,type
1/1/2020,394427,A
1/2/2020,592551,B
1/3/2020,621641,B
1/4/2020,515741,B
1/5/2020,608863,B
1/6/2020,711430,A
1/7/2020,710991,A
1/8/2020,694572,A
1/9/2020,695629,A
1/10/2020,755632,A
1/11/2020,784485,A
1/12/2020,710256,A
1/13/2020,514601,A
1/14/2020,567398,A
1/15/2020,666582,A
1/16/2020,607711,A
1/17/2020,620255,A
1/18/2020,624405,A
1/19/2020,654382,A
1/20/2020,643993,A
1/21/2020,558550,A
1/22/2020,625768,C
1/23/2020,621753,A
1/24/2020,653341,A
1/25/2020,471635,A
1/26/2020,518183,A
1/27/2020,597832,A
1/28/2020,588993,A
1/29/2020,581388,A
1/30/2020,568833,A
1/31/2020,633094,A
2/1/2020,595543,A
2/2/2020,601805,A
2/3/2020,637437,A
2/4/2020,723979,C
2/5/2020,578329,A
2/6/2020,424480,A
2/7/2020,478740,A
2/8/2020,586522,A
2/9/2020,531162,A
2/10/2020,562409,A
2/11/2020,594300,A
2/12/2020,627423,A
2/13/2020,558703,A
2/14/2020,637869,C
2/15/2020,658321,A
2/16/2020,631903,A
2/17/2020,601205,A
2/18/2020,523269,A
2/19/2020,523276,A
2/20/2020,638176,A
2/21/2020,589829,A
2/22/2020,626280,C
2/23/2020,660762,C
2/24/2020,614729,C
2/25/2020,661616,C
2/26/2020,640007,C
2/27/2020,634406,C
2/28/2020,703055,C
2/29/2020,647853,C
3/1/2020,469463,C
3/2/2020,596262,C
3/3/2020,666935,C
3/4/2020,628915,C
3/5/2020,633217,C
3/6/2020,690478,C
3/7/2020,650224,C
3/8/2020,722957,C
3/9/2020,687389,C
3/10/2020,719868,C
3/11/2020,712811,C
3/12/2020,661177,C
3/13/2020,515356,C
3/14/2020,553542,C
3/15/2020,717312,C
3/16/2020,636478,C
3/17/2020,739653,C
3/18/2020,715689,C
3/19/2020,701796,C
3/20/2020,729404,C
3/21/2020,701888,C
3/22/2020,777149,C
3/23/2020,806353,C
3/24/2020,674595,C
3/25/2020,556366,C
3/26/2020,620158,C
3/27/2020,737000,C
3/28/2020,670971,C
3/29/2020,724829,C
3/30/2020,702466,C
3/31/2020,677842,C
4/1/2020,712859,C
4/2/2020,721154,C
4/3/2020,802421,C
4/4/2020,822558,C
4/5/2020,659632,C
4/6/2020,609235,C
4/7/2020,630737,C
4/8/2020,704337,C
4/9/2020,713010,C
4/10/2020,699505,C
4/11/2020,757950,C
4/12/2020,776860,C
4/13/2020,741586,C
4/14/2020,828499,C
4/15/2020,908647,C
4/16/2020,862088,C
4/17/2020,808147,C
4/18/2020,623096,C
4/19/2020,683957,C
4/20/2020,849127,C
4/21/2020,728465,C
4/22/2020,755761,C
4/23/2020,749181,C
4/24/2020,752408,C
4/25/2020,880600,C
4/26/2020,784997,C
4/27/2020,812112,C
4/28/2020,782806,C
4/29/2020,718694,C
4/30/2020,553903,C
5/1/2020,635831,C
5/2/2020,771028,C
5/3/2020,681190,C
5/4/2020,767752,C
5/5/2020,769097,C
5/6/2020,782899,C
5/7/2020,797401,C
5/8/2020,792317,C
5/9/2020,853430,C
5/10/2020,900706,C
5/11/2020,879189,C
5/12/2020,583570,C
5/13/2020,740295,C
5/14/2020,916709,C
5/15/2020,805196,C
5/16/2020,1057386,C
5/17/2020,797494,C
5/18/2020,825501,C
5/19/2020,839668,C
5/20/2020,865579,C
5/21/2020,842446,C
5/22/2020,914034,C
5/23/2020,1023477,C
5/24/2020,651221,C
5/25/2020,698951,C
5/26/2020,818504,C
5/27/2020,762299,C
5/28/2020,814483,C
5/29/2020,861974,C
5/30/2020,790350,C
5/31/2020,783153,C
6/1/2020,914567,C
6/2/2020,885303,C
6/3/2020,927063,C
6/4/2020,803236,C
6/5/2020,705724,C
6/6/2020,657528,C
6/7/2020,752979,C
6/8/2020,787915,C
6/9/2020,802162,C
6/10/2020,749944,C
6/11/2020,1033318,C
6/12/2020,813380,C
6/13/2020,877831,C
6/14/2020,880170,C
6/15/2020,1048426,C
